Type,Title,Legacy ID,Detail,
SYREQ,System Comaptibility,ZBS01-22235,"ZBPro should be compatible on common office PCs, display and internet connection, and the user should be able to set up the required hardware easily","<span  style=font-family: Arial;>ZBPro should be compatible on common office PCs, display and internet connection, and the user should be able to set up the required hardware easily.</span>"
SYREQ,Credentials ,ZBS01-22231,Users shall be able to log in using credentials,<span  style=font-family: Arial;>Users shall be able to log in using credentials</span>
SYREQ,ECG Upload,ZBS01-22230,The web interface should allow users to upload ECG raw tracing data.,<span  style=font-family: Arial;>The web interface should allow users to upload ECG raw tracing data.</span>
SYREQ,Displaying ECG,ZBS01-22229,The web interface should display ECGs without distortion and display the delineation of the ECG,<span  style=font-family: Arial;>The web interface should display ECGs without distortion and display the delineation of the ECG.</span>
SYREQ,Annotating ECG,ZBS01-22228,ZBPro(TM) should annotate ECGs and display labels for arrhythmias detected during analysis,<span  style=font-family: Arial;>ZBPro(TM) should annotate ECGs and display labels for arrhythmias detected during analysis.</span>
SYREQ,UI for Analysis,ZBS01-22234,The web interface should provide tools to help the user analyze the ECG and edit the report,<span  style=font-family: Arial;>The web interface should provide tools to help the user analyze the ECG and edit the report.</span>
SYREQ,"Editing comments, notes and Interpretation",ZBS01-22233,"The user should be able to enter and edit preliminary comments, notes and interpretations","<span  style=font-family: Arial;>The user should be able to enter and edit preliminary comments, notes and interpretations.</span>"
SYREQ,Physician's Interface,ZBS01-22232,ZBPro(TM) should provide the user with an interface for physician overread and a process for approving or rejecting reports,<span  style=font-family: Arial;>ZBPro(TM)<span id=polarion-comment:2></span> should provide the user with an interface for physician overread and a process for approving or rejecting reports.</span>
ARCH,"Balancing Security, Performance, Reliability, Scalability and Cost",ZBS01-22788,"The technical platform for ZBPro shall be selected and designed to optimize for a balance of security, performance, reliability, scalability, and cost","<span  style=font-size: 10pt;font-family: Arial;line-height: 1.5;>            <br>          </span> <table style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 284px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span style=font-weight: bold;>                      <span id=polarion-comment:51></span>Technical Platform Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 316px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 284px;height: 754px;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>The technical platform for ZBPro shall be selected and designed to optimize for a balance of security, performance, reliability, scalability, and cost. The platform shall leverage the best of the breed, standards-based technologies.<br>                  </span>                </td>                <td style=vertical-align: top;width: 316px;height: 754px;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>The system uses the Amazon AWS cloud platform. In particular, the system<br>                  </span> <ul>                    <li>                      <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>uses the ALB to scale horizontally when incoming traffic increases or decreases by adding or deleting EC2 instances.<br>                      </span>                    </li>                    <li>                      <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>uses the EFS to scale file systems automatically as files are added, removed and burse to higher throughput levels when necessary.<br>                      </span>                    </li>                    <li>                      <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>uses the EFS to securely and reliably access data files with a managed file system in Amazon AWS for 99.999999999% durability and up to 99.99% of availability<sup>(https://aws.amazon.com/efs/)</sup>.<br>                      </span>                    </li>                    <li>                      <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>uses the RDS, fully managed at AWS for MariaDB services, without needing to provision infrastructure or maintain software, achieve high availability with RDS multi-AZ deployments, and benefit from proven security best practices in databases born in the cloud<sup>(https://aws.amazon.com/rds)</sup>.<br>                      </span>                    </li>                    <li>                      <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>uses the EB that automatically handles the deployment, from capacity provisioning, load balancing, auto-scaling to application health monitoring. Meanwhile through its dashboard, ZBPro has full control over the AWS resources powering the ZBPro-API. There is no additional charge for the EB and only the AWS resources needed to store and run the ZBPro-API are charged<sup>(https://aws.amazon.com/elasticbeanstalk/)</sup>.<br>                      </span>                    </li>                    <li>                      <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>uses the IAM in AWS to grant role-based security credentials to authorize personals that access the ZBPro resources, and specify who can access services and resources in AWS, centrally manage fine-grained role-based permissions to AWS resources, prevention of unauthorized users.<br>                        <br>                      </span>                    </li>                  </ul>                </td>              </tr>            </tbody>          </table>"
ARCH,Minimize Attack Surface area and Blast Radius,ZBS01-23885,Minimize attack surface area and blast radius of a potential attack,"<table  style=width: 89.68%;margin-left: auto;margin-right: auto;empty-cells: show;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 270px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>Security Constraint<br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 403px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>Implementation<br>                  </span>                </th>              </tr>              <tr>                <td style=width: 270px;height: 392px;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>Minimize attack surface area and blast radius of a potential attack.<br> &nbsp;</span>                </td>                <td style=width: 403px;height: 392px;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span id=polarion-comment:73></span>The business processing functionality leverages interfaces that are only available on a private network (AWS VPC (virtual private network)). These interfaces are not available to the general public or even customers and customer networks. Access to the virtual private network is limited to only the presentation layer (web front end) of the ZBPro application.<br>                    <br> The ZBPro web application (presentation layer) is the only service that exposes an endpoint outside of a private network. This endpoint is hosted on an AWS elastic load balancer. Access to the public endpoint is limited to customer managed IP ranges. For example, a customer may employ 300 users that require access to ZBPro. The load balancer is configured to block all traffic, except that originating from the customer network via customer managed outbound IP addresses, typically a small range of IP addresses.<br>                    <br> Access to the public load balanced IP address is also limited to a single port. The limited set of users that can access the load balancer can only do so on port 443 via an SSL encrypted protocol.<br>                    <br>                  </span>                </td>              </tr>            </tbody>          </table>"
